id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,hours_standardized,hours_inferred,inferred_time,inferred_time_systematic,inferred_time_expanded,inferred_time_all_conditions
TNFA@Condition:HEK293 delta-RAF1:ER cells&Duration:1h@GSE97979.RNASeq.SRP104287_GRCh38,TNF,0.5761725048978358,TNF,GSE97979,RNASeq,SRP104287_GRCh38,,HEK293 delta-RAF1:ER cells,TNF,,activating,1h,1.0,TNFA,1.0,1.0,1.0,1.0,1.0,1.0
TNFA@Condition:HEK293 delta-RAF1:ER cells&Duration:4h@GSE97979.RNASeq.SRP104287_GRCh38,TNF,-0.4631756912854711,TNF,GSE97979,RNASeq,SRP104287_GRCh38,,HEK293 delta-RAF1:ER cells,TNF,,activating,4h,1.0,TNFA,4.0,4.0,4.0,4.0,4.0,4.0
TNFA@Condition:HEK293@GSE28548.MicroArray.HG-U133_Plus_2,TNF,-0.4919768439833391,TNF,GSE28548,MicroArray,HG-U133_Plus_2,,HEK293,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:HepG2@GSE12161.MicroArray.HG-U133_Plus_2,TNF,-1.3061796610914131,TNF,GSE12161,MicroArray,HG-U133_Plus_2,,HepG2,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:HepG2&Duration:14h@GSE54254.MicroArray.HT_HG-U133_Plus_PM,TNF,-0.2049390191534943,TNF,GSE54254,MicroArray,HT_HG-U133_Plus_PM,,HepG2,TNF,,activating,14h,1.0,TNFA,14.0,14.0,14.0,14.0,14.0,14.0
TNFA@Condition:HepG2&Duration:72h@GSE122660.MicroArray.GPL13158,TNF,-1.2386125878082097,TNF,GSE122660,MicroArray,GPL13158,,HepG2,TNF,,activating,72h,1.0,TNFA,72.0,72.0,72.0,72.0,72.0,72.0
TNFA@Condition:HT-29 cells@GSE69605.MicroArray.PrimeView,TNF,0.4317143555783647,TNF,GSE69605,MicroArray,PrimeView,,HT-29 cells,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:HT1080 (fibrosarcoma cell line)@GSE46599.MicroArray.GPL10558,TNF,-0.5568145129777671,TNF,GSE46599,MicroArray,GPL10558,,HT1080 (fibrosarcoma cell line),TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:HT29&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,1.1705284855248197,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,HT29,TNF,,activating,24h,1.0,TNFA,24.0,24.0,24.0,24.0,24.0,24.0
TNFA@Condition:HT29&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,-0.3941232089871971,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,HT29,TNF,,activating,4h,1.0,TNFA,4.0,4.0,4.0,4.0,4.0,4.0
TNFA@Condition:HuH7&Duration:72h@GSE122660.MicroArray.GPL13158,TNF,-0.2354349590509995,TNF,GSE122660,MicroArray,GPL13158,,HuH7,TNF,,activating,72h,1.0,TNFA,72.0,72.0,72.0,72.0,72.0,72.0
TNFA@Condition:human gingival fibroblast cell lines&Duration:1h@GSE13903.MicroArray.GPL7768,TNF,-0.3874153413199994,TNF,GSE13903,MicroArray,GPL7768,,human gingival fibroblast cell lines,TNF,,activating,1h,1.0,TNFA,1.0,1.0,1.0,1.0,1.0,1.0
TNFA@Condition:human gingival fibroblast cell lines&Duration:3h@GSE13903.MicroArray.GPL7768,TNF,-0.1656873053528532,TNF,GSE13903,MicroArray,GPL7768,,human gingival fibroblast cell lines,TNF,,activating,3h,1.0,TNFA,3.0,3.0,3.0,3.0,3.0,3.0
TNFA@Condition:human gingival fibroblast cell lines&Duration:6h@GSE13903.MicroArray.GPL7768,TNF,0.5842279527406007,TNF,GSE13903,MicroArray,GPL7768,,human gingival fibroblast cell lines,TNF,,activating,6h,1.0,TNFA,6.0,6.0,6.0,6.0,6.0,6.0
TNFA@Condition:human umblical vein endothelial cells@GSE121958.RNASeq.SRP167203_GRCh38,TNF,-0.1592221579560349,TNF,GSE121958,RNASeq,SRP167203_GRCh38,,human umblical vein endothelial cells,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:HUVEC@GSE22175.MicroArray.HG-U133A_2,TNF,-0.903162035280236,TNF,GSE22175,MicroArray,HG-U133A_2,,HUVEC,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:HUVEC@GSE9647.MicroArray.HG-U133_Plus_2,TNF,-0.1518618105096402,TNF,GSE9647,MicroArray,HG-U133_Plus_2,,HUVEC,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Jurkat (T cell line)@GSE46599.MicroArray.GPL10558,TNF,-0.2683154719365911,TNF,GSE46599,MicroArray,GPL10558,,Jurkat (T cell line),TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:K562&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,0.5537693583148807,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,K562,TNF,,activating,24h,1.0,TNFA,24.0,24.0,24.0,24.0,24.0,24.0
TNFA@Condition:K562&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,-1.6161180793757632,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,K562,TNF,,activating,4h,1.0,TNFA,4.0,4.0,4.0,4.0,4.0,4.0
TNFA@Condition:Keratinocyte&Duration:6h@GSE74407.MicroArray.GPL10558,TNF,1.3534755565098913,TNF,GSE74407,MicroArray,GPL10558,,Keratinocyte,TNF,,activating,6h,1.0,TNFA,6.0,6.0,6.0,6.0,6.0,6.0
TNFA@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,TNF,0.8684982904534405,TNF,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,,Macrophage,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Monocyte@GSE100382.RNASeq.SRP110187_GRCh38,TNF,1.0879159204479123,TNF,GSE100382,RNASeq,SRP110187_GRCh38,,Monocyte,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:PHH&Duration:72h@GSE122660.MicroArray.GPL13158,TNF,0.4843280944817221,TNF,GSE122660,MicroArray,GPL13158,,PHH,TNF,,activating,72h,1.0,TNFA,72.0,72.0,72.0,72.0,72.0,72.0
TNFA@Condition:PMA-THP-1 (PMA-treated monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,-0.1470339191044071,TNF,GSE46599,MicroArray,GPL10558,,PMA-THP-1 (PMA-treated monocytic cell line),TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:PMA-U937 (PMA-treated monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,0.870820716304082,TNF,GSE46599,MicroArray,GPL10558,,PMA-U937 (PMA-treated monocytic cell line),TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Retinal pigment epithelial (RPE) cells&Duration:48h@GSE36331.MicroArray.GPL6244,TNF,0.4170903627041927,TNF,GSE36331,MicroArray,GPL6244,,Retinal pigment epithelial (RPE) cells,TNF,,activating,48h,1.0,TNFA,48.0,48.0,48.0,48.0,48.0,48.0
TNFA@Condition:SGBS adipocyte@GSE64233.RNASeq.SRP051211_GRCh38,TNF,-0.1380614242869045,TNF,GSE64233,RNASeq,SRP051211_GRCh38,,SGBS adipocyte,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Smooth muscle cells@GSE96962.RNASeq.SRP102361_GRCh38,TNF,-0.2737893007801006,TNF,GSE96962,RNASeq,SRP102361_GRCh38,,Smooth muscle cells,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:synovium.OA@GSE93720.MicroArray.GPL570,TNF,0.0788986430588878,TNF,GSE93720,MicroArray,GPL570,,synovium.OA,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:synovium.RA@GSE93720.MicroArray.GPL570,TNF,-0.3118436442574006,TNF,GSE93720,MicroArray,GPL570,,synovium.RA,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:T84@GSE1474.MicroArray.GPL96,TNF,1.458484098728594,TNF,GSE1474,MicroArray,GPL96,,T84,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:THP-1 (monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,-0.1129925786911382,TNF,GSE46599,MicroArray,GPL10558,,THP-1 (monocytic cell line),TNF,,activating,,1.0,TNFA,,,,,,
"TNFA@Condition:U87-MG (glioblastoma-astrocytoma, epithelial-like cell line)@GSE46599.MicroArray.GPL10558",TNF,-0.1081811005088288,TNF,GSE46599,MicroArray,GPL10558,,"U87-MG (glioblastoma-astrocytoma, epithelial-like cell line)",TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:U937 (monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,0.0450705820472828,TNF,GSE46599,MicroArray,GPL10558,,U937 (monocytic cell line),TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:vascular endothelial cells@GSE115311.RNASeq.SRP149723_GRCh38,TNF,0.4589524365387071,TNF,GSE115311,RNASeq,SRP149723_GRCh38,,vascular endothelial cells,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Whole Blood&Duration:2h@GSE25742.MicroArray.GPL10558,TNF,-0.6109497870001888,TNF,GSE25742,MicroArray,GPL10558,,Whole Blood,TNF,,activating,2h,1.0,TNFA,2.0,2.0,2.0,2.0,2.0,2.0
TRAIL@Condition:HT29@GSE67033.MicroArray.GPL16699,TNFSF10,-0.0199646666788879,TNFSF10,GSE67033,MicroArray,GPL16699,,HT29,TNFSF10,,activating,,1.0,TRAIL,,,,,,
TRAIL@Condition:MDA-MB-231@GSE82047.MicroArray.HuGene-1_0-st-v1,TNFSF10,-0.2667173754376166,TNFSF10,GSE82047,MicroArray,HuGene-1_0-st-v1,,MDA-MB-231,TNFSF10,,activating,,1.0,TRAIL,,,,,,
TRAIL@Condition:Vascular Smooth Muscle Cell.TRAIL@GSE29955.MicroArray.HG-U133A_2,TNFSF10,-1.7802164999652847,TNFSF10,GSE29955,MicroArray,HG-U133A_2,,Vascular Smooth Muscle Cell.TRAIL,TNFSF10,,activating,,1.0,TRAIL,,,,,,
"TSLP@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:24h@GSE45458.MicroArray.GPL13497",TSLP,,TSLP,GSE45458,MicroArray,GPL13497,,"ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)",TSLP,,activating,24h,1.0,TSLP,24.0,24.0,24.0,24.0,24.0,24.0
TSLP@Condition:Xenografted leukemia@GSE74339.RNASeq.SRP065258_GRCh38,TSLP,,TSLP,GSE74339,RNASeq,SRP065258_GRCh38,,Xenografted leukemia,TSLP,,activating,,1.0,TSLP,,,,,,
VEGFA@Condition:HUVEC@GSE129275.MicroArray.GPL10558,VEGFA,4.1900742884536495,VEGFA,GSE129275,MicroArray,GPL10558,,HUVEC,VEGFA,,activating,,1.0,VEGFA,,,,,,
WNT3A@Condition:CCD-18Co colon fibroblasts@GSE89124.RNASeq.SRP092000_GRCh38,WNT3A,,WNT3A,GSE89124,RNASeq,SRP092000_GRCh38,,CCD-18Co colon fibroblasts,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:CCD-18Co human normal colon myofibroblasts@GSE120106.RNASeq.SRP162014_GRCh38,WNT3A,,WNT3A,GSE120106,RNASeq,SRP162014_GRCh38,,CCD-18Co human normal colon myofibroblasts,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:fibroblast&Duration:24h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_24h,WNT3A,0.9052804298488696,WNT3A,E-MTAB-837,MicroArray,ChipsterNormalized_Replicate1+2_24h,,fibroblast,WNT3A,,activating,24h,1.0,WNT3A,24.0,24.0,24.0,24.0,24.0,24.0
WNT3A@Condition:fibroblast&Duration:8h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_8h,WNT3A,0.7285769883084575,WNT3A,E-MTAB-837,MicroArray,ChipsterNormalized_Replicate1+2_8h,,fibroblast,WNT3A,,activating,8h,1.0,WNT3A,8.0,8.0,8.0,8.0,8.0,8.0
WNT3A@Condition:H2030-BrM3@GSE14107.MicroArray.HG-U133A_2,WNT3A,,WNT3A,GSE14107,MicroArray,HG-U133A_2,,H2030-BrM3,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:HCC38&Duration:12h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,-0.7235751702639764,WNT3A,GSE65238,MicroArray,HuGene-1_1-st-v1,,HCC38,WNT3A,,activating,12h,1.0,WNT3A,12.0,12.0,12.0,12.0,12.0,12.0
WNT3A@Condition:HCC38&Duration:24h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,0.04126900050312,WNT3A,GSE65238,MicroArray,HuGene-1_1-st-v1,,HCC38,WNT3A,,activating,24h,1.0,WNT3A,24.0,24.0,24.0,24.0,24.0,24.0
WNT3A@Condition:HCC38&Duration:6h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,-2.137821173343384,WNT3A,GSE65238,MicroArray,HuGene-1_1-st-v1,,HCC38,WNT3A,,activating,6h,1.0,WNT3A,6.0,6.0,6.0,6.0,6.0,6.0
WNT3A@Condition:HeLa-MZ&Duration:2h@E-MTAB-6623.RNASeq.ERP107744_GRCh38,WNT3A,1.7541230664450622,WNT3A,E-MTAB-6623,RNASeq,ERP107744_GRCh38,,HeLa-MZ,WNT3A,,activating,2h,1.0,WNT3A,2.0,2.0,2.0,2.0,2.0,2.0
WNT3A@Condition:HeLa-MZ&Duration:6h@E-MTAB-6623.RNASeq.ERP107744_GRCh38,WNT3A,1.5158857811876676,WNT3A,E-MTAB-6623,RNASeq,ERP107744_GRCh38,,HeLa-MZ,WNT3A,,activating,6h,1.0,WNT3A,6.0,6.0,6.0,6.0,6.0,6.0
WNT3A@Condition:Hela@E-MTAB-2872.MicroArray.HuGene-2_0-st,WNT3A,1.641323967870808,WNT3A,E-MTAB-2872,MicroArray,HuGene-2_0-st,,Hela,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:HeLa&Duration:3h@GSE50248.MicroArray.GPL10558,WNT3A,-0.8498065890250762,WNT3A,GSE50248,MicroArray,GPL10558,,HeLa,WNT3A,,activating,3h,1.0,WNT3A,3.0,3.0,3.0,3.0,3.0,3.0
WNT3A@Condition:HepaRG@GSE68633.MicroArray.GPL17077,WNT3A,2.85292658620171,WNT3A,GSE68633,MicroArray,GPL17077,,HepaRG,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:human fetal liver progenitor cells (hFLPC)@GSE106755.MicroArray.HuGene-2_1-st,WNT3A,-1.264709232903335,WNT3A,GSE106755,MicroArray,HuGene-2_1-st,,human fetal liver progenitor cells (hFLPC),WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:MDA-MB-468&Duration:12h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,-1.0483802295704876,WNT3A,GSE65238,MicroArray,HuGene-1_1-st-v1,,MDA-MB-468,WNT3A,,activating,12h,1.0,WNT3A,12.0,12.0,12.0,12.0,12.0,12.0
WNT3A@Condition:MDA-MB-468&Duration:24h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,-1.7512738584986307,WNT3A,GSE65238,MicroArray,HuGene-1_1-st-v1,,MDA-MB-468,WNT3A,,activating,24h,1.0,WNT3A,24.0,24.0,24.0,24.0,24.0,24.0
WNT3A@Condition:MDA-MB-468&Duration:6h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,-3.108415023089812,WNT3A,GSE65238,MicroArray,HuGene-1_1-st-v1,,MDA-MB-468,WNT3A,,activating,6h,1.0,WNT3A,6.0,6.0,6.0,6.0,6.0,6.0
WNT3A@Condition:parental H2030@GSE14107.MicroArray.HG-U133A_2,WNT3A,,WNT3A,GSE14107,MicroArray,HG-U133A_2,,parental H2030,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:Parental PC9@GSE14107.MicroArray.HG-U133A_2,WNT3A,,WNT3A,GSE14107,MicroArray,HG-U133A_2,,Parental PC9,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:Pc9-BrM3@GSE14107.MicroArray.HG-U133A_2,WNT3A,,WNT3A,GSE14107,MicroArray,HG-U133A_2,,Pc9-BrM3,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT3A@Condition:SV40LT-HFL@GSE106755.MicroArray.HuGene-2_1-st,WNT3A,0.5067128081912885,WNT3A,GSE106755,MicroArray,HuGene-2_1-st,,SV40LT-HFL,WNT3A,,activating,,1.0,WNT3A,,,,,,
WNT5A@Condition:hESC-derived endocrine progenitors&Duration:12h@GSE90785.RNASeq.SRP094450_GRCh38,WNT5A,-0.9397647184306762,WNT5A,GSE90785,RNASeq,SRP094450_GRCh38,,hESC-derived endocrine progenitors,WNT5A,,activating,12h,1.0,WNT5A,12.0,12.0,12.0,12.0,12.0,12.0
WNT5A@Condition:hESC-derived endocrine progenitors&Duration:5d@GSE90785.RNASeq.SRP094450_GRCh38,WNT5A,0.1732390505233965,WNT5A,GSE90785,RNASeq,SRP094450_GRCh38,,hESC-derived endocrine progenitors,WNT5A,,activating,5d,1.0,WNT5A,120.0,120.0,120.0,120.0,120.0,120.0
WNT5A@Condition:human fetal liver progenitor cells (hFLPC)@GSE106755.MicroArray.HuGene-2_1-st,WNT5A,-0.8430144779337375,WNT5A,GSE106755,MicroArray,HuGene-2_1-st,,human fetal liver progenitor cells (hFLPC),WNT5A,,activating,,1.0,WNT5A,,,,,,
WNT5A@Condition:SV40LT-HFL@GSE106755.MicroArray.HuGene-2_1-st,WNT5A,-0.762760692774074,WNT5A,GSE106755,MicroArray,HuGene-2_1-st,,SV40LT-HFL,WNT5A,,activating,,1.0,WNT5A,,,,,,
,,,,,,,,,,,,60in,,,,1.0,1.0,,1.0,1.0
,,,,,,,,,,,,60min,,,,,,1.0,1.0,1.0
,,,,,,,,,,,,20min,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333
